CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBALAGEM_VENDA;QTD_LOJAS_COM_CUSTO;PRECO_VENDA_NORMAL;PRECO_VENDA_PRATICADO;CUSTO_NF_BRUTO;CUSTO_IPI;CUSTO_ICMS_ST;CUSTO_DESP_NF;CUSTO_DESP_FORA_NF;CREDITO_ICMS;CREDITO_PIS;CREDITO_COFINS;DESCONTO_FORA_NF;DESCONTO_VERBA;CUSTO_LIQUIDO;ALIQ_ICMS_VENDA;ALIQ_PIS_VENDA;ALIQ_COFINS_VENDA;ALIQ_IMPOSTOS_TOTAL;VALOR_IMPOSTOS_VENDA;PRECO_VENDA_LIQUIDO;LUCRO_VALOR;MARGEM_REALIZADA;MARGEM_OBJETIVA;PRECO_SUGERIDO
20479;MANTA FLEECE BEBE STUF 85X98CM CB0011;1;6;15,99;15,99;9,9;0;0;0;0;0;0;0;0;0;9,9;17;1,65;7,6;26,25;4,1974;11,7926;1,8926;11,84;25;20,31
20480;MANTA HOME DESIGN CASAL 200 LISA 180X240;1;15;39,9;39,9;22;0;0;0;0;0;0;0;0;0;21,5432;17;1,65;7,6;26,25;10,4738;29,4263;7,8831;19,76;25;44,19
20481;MANTA HOME DESIGN CASAL 180X220CM BGE;1;2;59,99;59,99;26;0;0;0;0;0;0;0;0;0;26;17;1,65;7,6;26,25;15,7474;44,2426;18,2426;30,41;35;67,1
20482;MANTA HOME DESIGN CASAL 180X220CM IND;1;1;59,99;59,99;26;0;0;0;0;0;0;0;0;0;26;17;1,65;7,6;26,25;15,7474;44,2426;18,2426;30,41;35;67,1
20483;MANTA HOME DESIGN QUEEN 200 LISA 220X240;1;15;49,9;49,9;28;0;0;0;0;0;0;0;0;0;26,6516;17;1,65;7,6;26,25;13,0988;36,8013;10,1497;20,34;25;54,67
20484;MANTA HOME DESIGN SOLT 150X200 ACQUA;1;1;44,99;44,99;19,9;0;0;0;0;0;0;0;0;0;19,9;17;1,65;7,6;26,25;11,8099;33,1801;13,2801;29,52;35;51,35
20485;MANTA PET CAMESA 90X105 SORT;1;0;24,99;24,99;0;0;0;0;0;0;0;0;0;0;0;17;1,65;7,6;26,25;6,5599;18,4301;18,4301;73,75;35;0
20486;MANTA PET PANOSUL 70X100 R.10622;1;7;26,79;26,79;13,88;0;0;0;0;0;0;0;0;0;13,88;17;1,65;7,6;26,25;7,0324;19,7576;5,8776;21,94;35;35,82
20487;MANTEGUEIRA 500ML 19X13X4CM IXB09014;1;1;30,5;30,5;11,15;0;0;0;0;0;0;0;0;0;11,15;17;1,65;7,6;26,25;8,0063;22,4938;11,3438;37,19;35;28,77
20488;MANTEGUEIRA C/TAMPA LYON;1;1;60,9;60,9;30,25;0;0;0;0;0;0;0;0;0;30,25;17;1,65;7,6;26,25;15,9863;44,9138;14,6638;24,08;35;78,06
20489;MANTEGUEIRA C/TAMPA WELLMIX INOX WX7853;1;4;32,59;32,59;18,61;0;0;0;0;0;0;0;0;0;18,61;17;1,65;7,6;26,25;8,5549;24,0351;5,4251;16,65;35;48,03
20490;MANTEIGUEIRA ACRILICO C/TAMPA+ESPAT;1;2;10,99;10,99;5,02;0;0;0;0;0;0;0;0;0;5,02;17;1,65;7,6;26,25;2,8849;8,1051;3,0851;28,07;35;12,95
20491;MAQUIAGEM PLAS P/BONS;1;2;11,99;11,99;9,57;0;0;0;0;0;0;0;0;0;9,57;17;1,65;7,6;26,25;3,1474;8,8426;-,7274;-6,07;35;24,7
20492;MARCA FINE PLUS C/10 CORES-96035;1;11;19,99;19,99;8,5654;0;0;0;0;0;0;0;0;0;8,5654;17;1,65;7,6;26,25;5,2474;14,7426;6,1772;30,9;37;23,31
20493;MARCA TEXTO BIC AMARELO;1;15;6,99;6,99;3,54;0;0;0;0;0;0;0;0;0;3,54;17;1,65;7,6;26,25;1,8349;5,1551;1,6151;23,11;37;9,63
20494;MARCA TEXTO BIC AZUL;1;14;10,99;10,99;5,38;0;0;0;0;0;0;0;0;0;5,38;17;1,65;7,6;26,25;2,8849;8,1051;2,7251;24,8;37;14,64
20495;MARCA TEXTO BIC PT;1;14;10,99;10,99;5,38;0;0;0;0;0;0;0;0;0;5,38;17;1,65;7,6;26,25;2,8849;8,1051;2,7251;24,8;37;14,64
20496;MARCA TEXTO BIC ROSA;1;15;6,99;6,99;3,54;0;0;0;0;0;0;0;0;0;3,54;17;1,65;7,6;26,25;1,8349;5,1551;1,6151;23,11;37;9,63
20497;MARCA TEXTO BIC VERDE;1;16;6,99;6,99;3,7009;0;0;0;0;0;0;0;0;0;3,6119;17;1,65;7,6;26,25;1,8349;5,1551;1,5432;22,08;37;9,83
20498;MARCA TEXTO BIC VERM;1;13;10,99;10,99;5,38;0;0;0;0;0;0;0;0;0;5,38;17;1,65;7,6;26,25;2,8849;8,1051;2,7251;24,8;37;14,64
20499;MARCA TEXTO BIC 4 CORES PASTEL;1;14;18,99;18,99;9,21;0;0;0;0;0;0;0;0;0;9,21;17;1,65;7,6;26,25;4,9849;14,0051;4,7951;25,25;37;25,06
