CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR;COMPRADOR;PRAZO_PAGAMENTO_CADASTRO;PRAZO_MEDIO_ENTREGA_DIAS;FORMA_PAGAMENTO;FORMA_DEVOLUCAO;CONDICAO_DEVOLUCAO
6979;CONSERVAS ODERICH SA;WETER SONNENFELDET;15;15;Faturamento;BOLETO;30 DIAS
14671;CONSERVAS ODERICH SA;NIDAL TUBASI;30;20;Faturamento;BOLETO;30 DIAS
14671;CONSERVAS ODERICH SA;WETER SONNENFELDET;30;20;Faturamento;BOLETO;30 DIAS
15520;CONSERVAS ODERICH SA;NIDAL TUBASI;28;10;Faturamento;BOLETO;30 DIAS
15520;CONSERVAS ODERICH SA;WETER SONNENFELDET;28;10;Faturamento;BOLETO;30 DIAS
15165;COOP AGRICOLA MISTA NOVA PALMA LTDA;NIDAL TUBASI;30/45/60;15;Faturamento;BOLETO;30 DIAS
10674;COOP AGROINDUSTRIAL LAR;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
12591;COOP CENTRAL GAUCHA LTDA;WETER SONNENFELDET;28;15;Faturamento;BOLETO;30 DIAS
6505;COOP DA FRONT OESTE DE CARNES DERIVADOS;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
16733;COOP DALIA ALIMENTOS LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
12215;COOP R.A LANGUIRU LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
14319;COOP SANTA CLARA LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
14212;COOP SANTA CLARA LTDA FRIGORIFICO;LAURINDO BISCUBI RAMOS;32;10;Faturamento;BOLETO;30 DIAS
14212;COOP SANTA CLARA LTDA FRIGORIFICO;SANDRO MARTINS VIANNA;32;10;Faturamento;BOLETO;30 DIAS
10421;COOP SANTA CLARA LTDA IND DE LATICINIOS;LAURINDO BISCUBI RAMOS;30;15;Faturamento;BOLETO;30 DIAS
10421;COOP SANTA CLARA LTDA IND DE LATICINIOS;SANDRO MARTINS VIANNA;30;15;Faturamento;BOLETO;30 DIAS
10421;COOP SANTA CLARA LTDA IND DE LATICINIOS;WETER SONNENFELDET;30;15;Faturamento;BOLETO;30 DIAS
7607;COOP SUINOCULTORES DO CAI SUPERIOR LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
7246;COOP VINICOLA AURORA LTDA;NICOLAS AUGUSTO P. BORGES;30/45/60;20;Faturamento;BOLETO;30 DIAS
12153;COOP VINICOLA GARIBALDI LTDA;NICOLAS AUGUSTO P. BORGES;30;14;Faturamento;BOLETO;30 DIAS
10224;COOP VITIVINICOLA ALIANCA LTDA;NICOLAS AUGUSTO P. BORGES;30/45/60;15;Faturamento;BOLETO;30 DIAS
5598;COOP. SUINOC. ENCANTADO LTDA;SANDRO MARTINS VIANNA;30;5;Faturamento;;
