DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10525;ALCATRA S OSSO KG PEDACO;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10555;AMEIXA UNIAGRO PTA C CAROCO KG;Ativo;10;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10556;AMEIXA UNIAGRO PTA S CAROCO KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;25640;APRESUNTADO AURORA FAT 180G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10561;APRESUNTADO EXCELSIOR FAT 180G;Ativo;12;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;35583;APRESUNTADO PAMPLONA FAT 180G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;25643;APRESUNTADO PERDIGAO FAT 200G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10566;APRESUNTADO PROGRESSO FAT;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10567;APRESUNTADO SADIA KG INT;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10562;APRESUNTADO TCHE KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10569;ARANHA ALCATRA FRIBOI BOV KG BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10572;ASSADO MATURATTA EM TIRAS KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10576;AVE CONG SADIA PERU ASSA FACIL;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10577;AVE NATAL ADORO MILENIUM;Ativo;1;1;0;0
PERECIVEIS;MODELO;16;10578;AVE NATAL MAIS FGO;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10580;AVE NATAL PERD CHESTER ASSA FAC KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10582;AVE NATAL PERD CHESTER DES TRAD KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10583;AVE NATAL PERDIGAO CHESTER INT KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10581;AVE NATAL PERDIGAO CHESTER KG AZEITE ERVAS;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10584;AVE NATAL PERDIGAO PERU KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10585;AVE NATAL SADIA PERU KG C MANTEIGA;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10586;AVE NATAL SADIA PERU KG TEMP;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10587;AVE NATAL SADIA SUPREME KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;35542;BACALHAU OPERGEL SALG 400 G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10663;BACON MILAN KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10664;BACON MILAN KG CORT;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10665;BACON MILAN KG FAT;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;34437;BACON MILAN KG RETALHO;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10667;BACON PERDIGAO DEF VACUO KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10670;BACON SADIA KG INT;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10671;BACON STA CLARA KG CORT;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10672;BACON STA CLARA KG FAT;Ativo;1;1;0;0
