CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBL_TRANSFERENCIA;CODIGO_EMPRESA;NOVO_MINIMO;NOVO_MAXIMO;DIAS_RELATORIO_VENDA;VENDA_MEDIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;REGRA_MINIMO;REGRA_MAXIMO;Status;QUANTIDADE_DISPONIVEL
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;7;6;10;90;0,23;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;38
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;8;6;10;90;0,18;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;8
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;11;6;10;90;0,43;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;12
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;12;6;10;90;0,33;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;10
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;13;6;10;90;0,6;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;4
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;14;6;10;90;0,96;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;18
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;17;6;10;90;0,68;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;42
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;18;6;10;90;0,32;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;10
4379;BEB LACT STA CLARA GF 1L ZERO LAC MORANGO;6;3;6;12;90;1,01;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;-5
4379;BEB LACT STA CLARA GF 1L ZERO LAC MORANGO;6;17;6;12;90;1,33;0;0;VENDA_4_DIAS;UMA_CAIXA_ACIMA;Ativo;13
4380;BEB LACT SANTA CLARA TRIP ZR GF 1L MORANGO;1;2;6;10;90;0,77;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;20
4380;BEB LACT SANTA CLARA TRIP ZR GF 1L MORANGO;1;3;11;12;90;2,64;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;19
