CODIGO_PRODUTO;EAN;DESCRICAO_PRODUTO;CODIGO_EMPRESA;EMBALAGEM_VENDA;COMPRADOR;PRECO_NORMAL;PRECO_PROMOCIONAL;PRECO_PRATICADO_DIA
7341;7898330160388;PAO TCHE PAO 350G INTEGRAL PRETO;12;1;2 - SANDRO;10,99;10,99;10,99
7344;7898330160449;PAO TCHE PAO 500G XIS;12;1;2 - SANDRO;10,99;0;10,99
7382;7898013651554;PASTEL ITALIANY 300G PRESUNTO QUEIJO;12;1;2 - SANDRO;22,39;0;22,39
7383;7898013651547;PASTEL ITALIANY 300G QUEIJO;12;1;2 - SANDRO;22,39;0;22,39
7402;7896610905742;PATE EXCELSIOR 100G FIGADO;12;1;2 - SANDRO;3,99;0;3,99
7403;7896610905827;PATE EXCELSIOR 100G FGO;12;1;2 - SANDRO;3,99;0;3,99
7404;7896610905919;PATE EXCELSIOR 100G FGO E ERVAS;12;1;2 - SANDRO;3,99;0;3,99
7405;7896610904455;PATE EXCELSIOR 100G PEITO FGO DEF;12;1;2 - SANDRO;3,99;0;3,99
7410;7896610905902;PATE EXCELSIOR 100G PRESUNTO;12;1;2 - SANDRO;3,99;0;3,99
7462;7891515532925;PIZZA PERDIGAO CONG 460G NAPOLITANA;12;1;2 - SANDRO;20,99;0;20,99
7463;7893000631939;PIZZA SADIA 440G MUSSARELA;12;1;2 - SANDRO;26,99;0;26,99
7464;7893000632073;PIZZA SADIA 460G CALABRESA;12;1;2 - SANDRO;23,69;0;23,69
7465;7893000672109;PIZZA SADIA 460G FGO REQUEI MUSS;12;1;2 - SANDRO;26,99;0;26,99
